listing_id,listing_name,host_id,host_name,property_type,room_type_id,location_id,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,number_of_reviews,actual_review_count,first_review_date,last_review_date,review_scores_rating,reviews_per_month
8340841,Furnished 1 Bedrm Apt near Broadway,43963978,Dick,Apartment,1,605,2,1.0,1.0,1.0,Real Bed,125.0,7,90,8,8,2015-10-02,2015-11-20,100.0,2.53
9635943,Apartment in Capitol Hill,5493132,Karim,Apartment,3,606,2,1.5,1.0,1.0,Pull-out Sofa,45.0,1,1125,0,0,,,0.0,0.0
8046691,1 BR in the heart of Capitol Hill,42494222,Aaron,Apartment,1,629,2,1.0,1.0,1.0,Real Bed,110.0,1,1125,2,2,2015-09-21,2015-09-23,90.0,0.57
9078843,Vacation rental condo in seattle,41379323,E,Condominium,1,739,6,1.0,2.0,3.0,Real Bed,109.0,1,1125,0,0,,,0.0,0.0
8799909,Bright corner Capitol Hill 1 br,6291476,Camilla,Apartment,1,607,3,1.0,1.0,2.0,Real Bed,110.0,1,1125,0,0,,,0.0,0.0
387079,Luxurious and new on Capitol Hill,1121532,Autumn,Apartment,1,608,4,1.0,1.0,1.0,Real Bed,119.0,2,365,41,41,2012-08-05,2015-12-08,94.0,0.99
8292326,Clean & Cozy One bedroom apartment,38032048,Chen,Apartment,1,609,2,1.0,1.0,1.0,Real Bed,115.0,1,1125,0,0,,,0.0,0.0
10339144,Studio in the heart of Capitol Hill,53208610,Julie,Apartment,1,630,2,1.0,0.0,1.0,Real Bed,60.0,1,1125,0,0,,,0.0,0.0
5563136,Cap Hill Sunny Duplex,11402413,Jonathan,House,1,610,2,1.0,1.0,1.0,Real Bed,100.0,1,1125,10,10,2015-03-08,2015-05-25,94.0,0.99
6079216,Window with a view of Seattle's,4570545,Tony,Apartment,1,740,2,2.0,2.0,2.0,Real Bed,150.0,10,1125,2,2,2015-06-12,2015-08-28,100.0,0.29
8955477,"Simple apartment, heart of the city",24272378,Miranda,Apartment,1,741,4,1.0,1.0,2.0,Real Bed,115.0,1,2,2,2,2015-11-01,2015-11-02,100.0,0.92
6424859,Capitol Hill - Quiet/Great Location,13309620,Craig,House,2,611,2,1.0,1.0,1.0,Futon,139.0,1,30,24,24,2015-05-25,2015-09-22,100.0,3.2
7651702,Lake View from Capitol Hill,14370535,Shanelle,Apartment,1,612,4,1.0,0.0,2.0,Real Bed,100.0,1,1125,7,7,2015-08-07,2015-09-29,86.0,1.39
6210952,Short-term stays in beautiful home,7673693,Shawn,Apartment,1,613,8,2.0,2.0,3.0,Real Bed,300.0,2,1125,2,2,2015-06-15,2015-08-26,100.0,0.29
9281758,New! Cozy Capitol Hill Studio,20219487,Mackenzie,Apartment,1,631,2,1.0,0.0,1.0,Real Bed,98.0,2,1125,2,2,2015-12-30,2016-01-03,100.0,2.0
2875975,Spacious 1920s Capitol Hill duplex,2085350,Jordanna,Apartment,1,632,5,1.0,4.0,4.0,Real Bed,200.0,1,1125,1,1,2015-08-30,2015-08-30,100.0,0.23
7275027,The Maple Deluxe Vacation Apartment,38089313,Madison,Apartment,1,614,4,1.0,1.0,2.0,Real Bed,89.0,28,1125,0,0,,,0.0,0.0
4318709,Capital Hill Couch,22422326,Keith,Apartment,3,615,2,1.0,1.0,1.0,Couch,60.0,1,1125,14,14,2015-03-29,2015-11-10,92.0,1.49
6939106,PRIME Bright Cap Hill APT + HAMMOCK,36383433,Chris,Apartment,1,742,3,1.0,1.0,2.0,Real Bed,144.0,1,1125,45,45,2015-06-25,2015-12-20,98.0,6.96
2727938,Studio Apartment Seattle,13574164,Jessica,Apartment,1,616,2,1.0,0.0,1.0,Real Bed,110.0,2,1125,15,15,2014-04-21,2015-07-05,97.0,0.72
7695195,1 bed apartment in Capitol Hill,5721704,Martin,Apartment,1,633,2,1.0,1.0,1.0,Real Bed,90.0,1,1125,3,3,2015-08-20,2015-09-21,100.0,0.65
6445741,"Sunny & Spacious 1,000sq 1 Bdrm Apt",23084767,Katelyn,Apartment,1,743,4,1.0,1.0,1.0,Real Bed,189.0,2,1125,2,2,2015-07-27,2015-07-30,100.0,0.37
7381005,Modern Apartment  in Capitol  Hill,4730169,Magic,Apartment,2,744,2,1.0,1.0,1.0,Real Bed,99.0,3,1125,2,2,2015-09-08,2015-09-29,100.0,0.5
8724134,Capitol Hill Room w/ Childrens Room,45787692,Melissa,Apartment,1,617,3,1.0,1.0,2.0,Real Bed,175.0,1,1125,0,0,,,0.0,0.0
4023177,Whole second floor in Ballard 华语没问题,20218854,Joe,House,2,73,3,1.5,1.0,3.0,Real Bed,119.0,1,1125,33,33,2015-05-31,2015-09-24,96.0,4.52
1589681,Ballard Cottage,681242,Heather,House,1,74,2,1.0,0.0,1.0,Pull-out Sofa,80.0,1,1125,9,9,2015-09-28,2015-11-28,98.0,2.73
8524349,Ballard studio - 85 Walk Score!,1212520,Jeremy And Rachael,Apartment,1,75,4,1.0,1.0,4.0,Real Bed,105.0,2,1125,4,4,2015-09-29,2015-11-02,100.0,1.22
9429399,Bright Ballard Entertainer,45092482,Ellen,House,1,76,6,1.0,2.0,3.0,Real Bed,98.0,1,1125,2,2,2015-12-01,2015-12-07,90.0,1.71
7089415,Available for Christmas-Ballard,4532827,Dani,Apartment,1,72,2,1.0,1.0,1.0,Real Bed,99.0,2,1125,3,3,2015-07-06,2016-01-02,100.0,0.49
8033438,Private Room Close to Beach,5744697,Farah,House,2,77,2,1.0,1.0,1.0,Real Bed,49.0,1,1125,18,18,2015-09-15,2015-12-18,92.0,4.82
6836330,The Ballard Fishermans Bungalow,8021,Becky,House,1,78,3,1.0,1.0,1.0,Real Bed,90.0,1,1125,6,6,2015-07-07,2016-01-03,93.0,0.99
975179,Private room in Sunny Ballard,5333441,Katie,House,2,79,2,1.0,1.0,1.0,Real Bed,55.0,1,14,168,168,2013-03-18,2016-01-01,95.0,4.93
1956094,Entire Finished Basement in Ballard,9337200,Brian,House,2,80,4,1.0,1.0,1.0,Real Bed,85.0,1,1125,82,82,2013-12-31,2015-12-30,94.0,3.35
9619737,Bright by Ballard Bridge & Buses II,19295720,Jas,House,2,81,2,1.5,1.0,1.0,Real Bed,46.0,1,1125,0,0,,,0.0,0.0
9463729,Deluxe upper bedroom near Ballard,6807347,Shawn,House,2,82,2,1.0,1.0,1.0,Real Bed,60.0,1,3,0,0,,,0.0,0.0
8866331,Bright by Ballard Bridge and buses!,19295720,Jas,House,2,83,2,1.5,1.0,1.0,Real Bed,46.0,1,1125,0,0,,,0.0,0.0
5457260,Glam 70's Private Room in Seattle,4431710,Alex,House,2,84,2,1.5,1.0,1.0,Real Bed,69.0,4,1125,10,10,2015-03-29,2015-09-07,100.0,1.06
8594406,"Renovated house, chef's kitchen",12219592,Brian,House,2,85,2,1.0,1.0,1.0,Futon,75.0,1,1125,1,1,2015-10-04,2015-10-04,100.0,0.32
8484705,1-bedroom Mother-in-Law Apartment,1658653,Tara,House,1,86,4,1.0,1.0,1.0,Real Bed,95.0,4,1125,0,0,,,0.0,0.0
7714585,Cute private room in Ballard house,27603433,Sabrina,House,2,87,2,1.0,1.0,1.0,Real Bed,55.0,1,1125,10,10,2015-08-31,2015-11-29,96.0,2.36
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,House,2,88,3,1.0,1.0,1.0,Real Bed,90.0,1,365,115,115,2012-06-18,2015-10-17,95.0,2.66
8551871,Cozy Ballard Flat,38370991,Joel And Sarah,House,2,89,2,1.0,1.0,1.0,Real Bed,49.0,2,1125,4,4,2015-11-22,2015-12-30,95.0,2.73
8567933,Bright Ballard Charmer!,45092482,Ellen,Apartment,1,90,6,1.0,2.0,3.0,Real Bed,115.0,1,1125,9,9,2015-10-10,2015-12-20,98.0,3.1
7934963,Ballard Bliss,5744697,Farah,House,2,91,4,1.0,1.0,2.0,Real Bed,49.0,1,25,18,18,2015-10-01,2015-12-21,91.0,5.63
6481764,Beautiful Craftsman home in Ballard,33271187,Jared,House,1,92,5,1.0,3.0,4.0,Real Bed,220.0,5,1125,12,12,2015-06-30,2015-09-02,98.0,1.9
8426827,Amazing Ballard - 85 Walk Score!,1212520,Jeremy And Rachael,Apartment,1,93,3,1.0,1.0,3.0,Real Bed,135.0,3,1125,3,3,2015-09-27,2015-10-19,93.0,0.9
7771531,Spacious & Private Ballard Basement,40879225,Theresa And CB,Apartment,1,94,2,1.0,1.0,1.0,Real Bed,79.0,2,1125,13,13,2015-09-14,2015-12-29,94.0,3.45
37234,Ballard: Walk to Salt Water Beach,160789,Darrell,House,1,95,2,1.0,1.0,2.0,Real Bed,99.0,3,21,0,0,,,0.0,0.0
2060441,Heart of Ballard Craftsman Home,287962,Ian,House,1,96,12,3.0,5.0,6.0,Real Bed,435.0,2,1125,10,10,2014-06-23,2015-09-15,88.0,0.53
2158992,Lovely home in Ballard neighborhood,3291162,Carola,House,1,97,4,1.0,2.0,2.0,Real Bed,110.0,14,91,4,4,2015-08-07,2015-10-21,100.0,0.79
8608414,Modern Ballard Bungalow,941389,Rachel,House,1,98,2,1.0,1.0,1.0,Real Bed,130.0,1,1125,0,0,,,0.0,0.0
5619397,Sunny and comfy Ballard home!,5333441,Katie,House,1,99,4,1.0,2.0,2.0,Real Bed,220.0,2,1125,0,0,,,0.0,0.0
4144767,Ballard Cottage- Charming Tiny Home,430709,Sea To Sky Rentals,House,1,100,2,1.0,0.0,1.0,Real Bed,95.0,3,1125,5,5,2015-05-27,2015-09-15,84.0,0.67
1301535,2 Huge Private Rooms + Common Area,468703,Corinne & Tom,House,1,101,7,1.0,2.0,3.0,Real Bed,105.0,1,365,89,89,2014-05-27,2015-10-19,95.0,4.54
3882930,Cozy Ballard-ish Bohemian Retreat,20076237,Morgan,House,2,102,2,1.0,1.0,1.0,Real Bed,60.0,1,1125,17,17,2014-09-11,2015-10-27,98.0,1.06
9186481,The Salmon House,31916919,Pieter,House,1,103,6,3.0,3.0,5.0,Real Bed,250.0,2,1125,0,0,,,0.0,0.0
5364244,Loyal Heights Guest House,25274592,Kassy,House,1,104,4,1.0,1.0,2.0,Real Bed,130.0,1,1125,32,32,2015-03-03,2015-12-25,98.0,3.12
4127196,"Large, private studio in Ballard",21409235,Corbin,House,2,105,3,1.0,1.0,2.0,Real Bed,95.0,3,1125,4,4,2015-07-09,2015-08-25,90.0,0.67
