date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
20160729,2016-07-29,2016,3,7,July,29,5,Friday,30,0
20160730,2016-07-30,2016,3,7,July,30,6,Saturday,30,1
20160731,2016-07-31,2016,3,7,July,31,7,Sunday,30,1
20160801,2016-08-01,2016,3,8,August,1,1,Monday,31,0
20160802,2016-08-02,2016,3,8,August,2,2,Tuesday,31,0
20160803,2016-08-03,2016,3,8,August,3,3,Wednesday,31,0
20160804,2016-08-04,2016,3,8,August,4,4,Thursday,31,0
20160805,2016-08-05,2016,3,8,August,5,5,Friday,31,0
20160806,2016-08-06,2016,3,8,August,6,6,Saturday,31,1
20160807,2016-08-07,2016,3,8,August,7,7,Sunday,31,1
20160808,2016-08-08,2016,3,8,August,8,1,Monday,32,0
20160809,2016-08-09,2016,3,8,August,9,2,Tuesday,32,0
20160810,2016-08-10,2016,3,8,August,10,3,Wednesday,32,0
20160811,2016-08-11,2016,3,8,August,11,4,Thursday,32,0
20160812,2016-08-12,2016,3,8,August,12,5,Friday,32,0
20160813,2016-08-13,2016,3,8,August,13,6,Saturday,32,1
20160814,2016-08-14,2016,3,8,August,14,7,Sunday,32,1
20160815,2016-08-15,2016,3,8,August,15,1,Monday,33,0
20160816,2016-08-16,2016,3,8,August,16,2,Tuesday,33,0
20160817,2016-08-17,2016,3,8,August,17,3,Wednesday,33,0
20160818,2016-08-18,2016,3,8,August,18,4,Thursday,33,0
20160819,2016-08-19,2016,3,8,August,19,5,Friday,33,0
20160820,2016-08-20,2016,3,8,August,20,6,Saturday,33,1
20160821,2016-08-21,2016,3,8,August,21,7,Sunday,33,1
20160822,2016-08-22,2016,3,8,August,22,1,Monday,34,0
20160823,2016-08-23,2016,3,8,August,23,2,Tuesday,34,0
20160824,2016-08-24,2016,3,8,August,24,3,Wednesday,34,0
20160825,2016-08-25,2016,3,8,August,25,4,Thursday,34,0
20160826,2016-08-26,2016,3,8,August,26,5,Friday,34,0
20160827,2016-08-27,2016,3,8,August,27,6,Saturday,34,1
20160828,2016-08-28,2016,3,8,August,28,7,Sunday,34,1
20160829,2016-08-29,2016,3,8,August,29,1,Monday,35,0
20160830,2016-08-30,2016,3,8,August,30,2,Tuesday,35,0
20160831,2016-08-31,2016,3,8,August,31,3,Wednesday,35,0
20160901,2016-09-01,2016,3,9,September,1,4,Thursday,35,0
20160902,2016-09-02,2016,3,9,September,2,5,Friday,35,0
20160903,2016-09-03,2016,3,9,September,3,6,Saturday,35,1
20160904,2016-09-04,2016,3,9,September,4,7,Sunday,35,1
20160905,2016-09-05,2016,3,9,September,5,1,Monday,36,0
20160906,2016-09-06,2016,3,9,September,6,2,Tuesday,36,0
20160907,2016-09-07,2016,3,9,September,7,3,Wednesday,36,0
20160908,2016-09-08,2016,3,9,September,8,4,Thursday,36,0
20160909,2016-09-09,2016,3,9,September,9,5,Friday,36,0
20160910,2016-09-10,2016,3,9,September,10,6,Saturday,36,1
20160911,2016-09-11,2016,3,9,September,11,7,Sunday,36,1
20160912,2016-09-12,2016,3,9,September,12,1,Monday,37,0
20160913,2016-09-13,2016,3,9,September,13,2,Tuesday,37,0
20160914,2016-09-14,2016,3,9,September,14,3,Wednesday,37,0
20160915,2016-09-15,2016,3,9,September,15,4,Thursday,37,0
20160916,2016-09-16,2016,3,9,September,16,5,Friday,37,0
20160917,2016-09-17,2016,3,9,September,17,6,Saturday,37,1
20160918,2016-09-18,2016,3,9,September,18,7,Sunday,37,1
20160919,2016-09-19,2016,3,9,September,19,1,Monday,38,0
20160920,2016-09-20,2016,3,9,September,20,2,Tuesday,38,0
20160921,2016-09-21,2016,3,9,September,21,3,Wednesday,38,0
20160922,2016-09-22,2016,3,9,September,22,4,Thursday,38,0
20160923,2016-09-23,2016,3,9,September,23,5,Friday,38,0
20160924,2016-09-24,2016,3,9,September,24,6,Saturday,38,1
20160925,2016-09-25,2016,3,9,September,25,7,Sunday,38,1
20160926,2016-09-26,2016,3,9,September,26,1,Monday,39,0
20160927,2016-09-27,2016,3,9,September,27,2,Tuesday,39,0
20160928,2016-09-28,2016,3,9,September,28,3,Wednesday,39,0
20160929,2016-09-29,2016,3,9,September,29,4,Thursday,39,0
20160930,2016-09-30,2016,3,9,September,30,5,Friday,39,0
20161001,2016-10-01,2016,4,10,October,1,6,Saturday,39,1
20161002,2016-10-02,2016,4,10,October,2,7,Sunday,39,1
20161003,2016-10-03,2016,4,10,October,3,1,Monday,40,0
20161004,2016-10-04,2016,4,10,October,4,2,Tuesday,40,0
20161005,2016-10-05,2016,4,10,October,5,3,Wednesday,40,0
20161006,2016-10-06,2016,4,10,October,6,4,Thursday,40,0
20161007,2016-10-07,2016,4,10,October,7,5,Friday,40,0
20161008,2016-10-08,2016,4,10,October,8,6,Saturday,40,1
20161009,2016-10-09,2016,4,10,October,9,7,Sunday,40,1
20161010,2016-10-10,2016,4,10,October,10,1,Monday,41,0
20161011,2016-10-11,2016,4,10,October,11,2,Tuesday,41,0
20161012,2016-10-12,2016,4,10,October,12,3,Wednesday,41,0
20161013,2016-10-13,2016,4,10,October,13,4,Thursday,41,0
20161014,2016-10-14,2016,4,10,October,14,5,Friday,41,0
20161015,2016-10-15,2016,4,10,October,15,6,Saturday,41,1
20161016,2016-10-16,2016,4,10,October,16,7,Sunday,41,1
20161017,2016-10-17,2016,4,10,October,17,1,Monday,42,0
20161018,2016-10-18,2016,4,10,October,18,2,Tuesday,42,0
20161019,2016-10-19,2016,4,10,October,19,3,Wednesday,42,0
20161020,2016-10-20,2016,4,10,October,20,4,Thursday,42,0
